,head_id,head_label,relation_id,relation_label,tail_id,tail_label,score
0,33,126,0,hasCapacityPrediction,13,1092,-8.079972
0,221,177,0,hasCapacityPrediction,13,1092,-8.413639
0,566,208,0,hasCapacityPrediction,13,1092,-7.823617
0,899,238,0,hasCapacityPrediction,13,1092,-7.964867
0,1266,271,0,hasCapacityPrediction,13,1092,-8.282344
0,1532,295,0,hasCapacityPrediction,13,1092,-7.9051285
0,1611,302,0,hasCapacityPrediction,13,1092,-8.738382
0,1622,303,0,hasCapacityPrediction,13,1092,-7.974648
0,1822,321,0,hasCapacityPrediction,13,1092,-8.352582
0,1944,332,0,hasCapacityPrediction,13,1092,-7.464958
0,2066,343,0,hasCapacityPrediction,13,1092,-7.4707093
0,2099,346,0,hasCapacityPrediction,13,1092,-8.083397
0,2110,347,0,hasCapacityPrediction,13,1092,-6.98876
0,2177,353,0,hasCapacityPrediction,13,1092,-7.1677423
0,2210,356,0,hasCapacityPrediction,13,1092,-7.7259274
0,2221,357,0,hasCapacityPrediction,13,1092,-7.948557
0,2255,360,0,hasCapacityPrediction,13,1092,-8.036663
0,2288,363,0,hasCapacityPrediction,13,1092,-7.1120987
0,2321,366,0,hasCapacityPrediction,13,1092,-7.4346595
0,2377,371,0,hasCapacityPrediction,13,1092,-7.9253616
0,2443,377,0,hasCapacityPrediction,13,1092,-7.462145
0,2477,380,0,hasCapacityPrediction,13,1092,-8.244931
0,2499,382,0,hasCapacityPrediction,13,1092,-7.7322826
0,2521,384,0,hasCapacityPrediction,13,1092,-8.1375675
0,2576,389,0,hasCapacityPrediction,13,1092,-8.572146
0,2588,390,0,hasCapacityPrediction,13,1092,-8.072381
0,2599,391,0,hasCapacityPrediction,13,1092,-7.222465
0,2610,392,0,hasCapacityPrediction,13,1092,-8.281305
0,2643,395,0,hasCapacityPrediction,13,1092,-7.8881474
0,2676,398,0,hasCapacityPrediction,13,1092,-7.9685497
0,2687,399,0,hasCapacityPrediction,13,1092,-7.87375
0,2700,400,0,hasCapacityPrediction,13,1092,-8.092315
0,2711,401,0,hasCapacityPrediction,13,1092,-7.5041313
0,2744,404,0,hasCapacityPrediction,13,1092,-8.471275
0,2777,407,0,hasCapacityPrediction,13,1092,-7.8328123
0,2811,410,0,hasCapacityPrediction,13,1092,-8.805293
0,2822,411,0,hasCapacityPrediction,13,1092,-7.616256
0,2866,415,0,hasCapacityPrediction,13,1092,-8.327304
0,2877,416,0,hasCapacityPrediction,13,1092,-6.8573685
0,2899,418,0,hasCapacityPrediction,13,1092,-7.581555
0,2910,419,0,hasCapacityPrediction,13,1092,-8.871799
0,2922,420,0,hasCapacityPrediction,13,1092,-8.789932
0,2933,421,0,hasCapacityPrediction,13,1092,-8.094507
0,2966,424,0,hasCapacityPrediction,13,1092,-8.594259
0,2977,425,0,hasCapacityPrediction,13,1092,-8.196876
0,2999,427,0,hasCapacityPrediction,13,1092,-8.362625
