,head_id,head_label,relation_id,relation_label,tail_id,tail_label,score
0,33,126,0,hasCapacityPrediction,14,1093,-3.017596
0,221,177,0,hasCapacityPrediction,14,1093,-3.1270812
0,566,208,0,hasCapacityPrediction,14,1093,-3.6865327
0,899,238,0,hasCapacityPrediction,14,1093,-2.8407512
0,1266,271,0,hasCapacityPrediction,14,1093,-2.5301118
0,1532,295,0,hasCapacityPrediction,14,1093,-2.985406
0,1611,302,0,hasCapacityPrediction,14,1093,-2.7912073
0,1622,303,0,hasCapacityPrediction,14,1093,-3.209147
0,1822,321,0,hasCapacityPrediction,14,1093,-2.0343952
0,1944,332,0,hasCapacityPrediction,14,1093,-3.5428498
0,2066,343,0,hasCapacityPrediction,14,1093,-3.1849647
0,2099,346,0,hasCapacityPrediction,14,1093,-3.479722
0,2110,347,0,hasCapacityPrediction,14,1093,-3.358991
0,2177,353,0,hasCapacityPrediction,14,1093,-2.7233386
0,2210,356,0,hasCapacityPrediction,14,1093,-2.1504257
0,2221,357,0,hasCapacityPrediction,14,1093,-2.8283257
0,2255,360,0,hasCapacityPrediction,14,1093,-2.7797313
0,2288,363,0,hasCapacityPrediction,14,1093,-2.6736372
0,2321,366,0,hasCapacityPrediction,14,1093,-2.9666493
0,2377,371,0,hasCapacityPrediction,14,1093,-2.4435847
0,2443,377,0,hasCapacityPrediction,14,1093,-3.0473802
0,2477,380,0,hasCapacityPrediction,14,1093,-2.553804
0,2499,382,0,hasCapacityPrediction,14,1093,-2.03402
0,2521,384,0,hasCapacityPrediction,14,1093,-2.539495
0,2576,389,0,hasCapacityPrediction,14,1093,-2.6212614
0,2588,390,0,hasCapacityPrediction,14,1093,-3.2399328
0,2599,391,0,hasCapacityPrediction,14,1093,-3.5951881
0,2610,392,0,hasCapacityPrediction,14,1093,-2.822981
0,2643,395,0,hasCapacityPrediction,14,1093,-2.0601163
0,2676,398,0,hasCapacityPrediction,14,1093,-2.7204142
0,2687,399,0,hasCapacityPrediction,14,1093,-3.037621
0,2700,400,0,hasCapacityPrediction,14,1093,-2.8189542
0,2711,401,0,hasCapacityPrediction,14,1093,-2.8156116
0,2744,404,0,hasCapacityPrediction,14,1093,-3.0248969
0,2777,407,0,hasCapacityPrediction,14,1093,-2.440173
0,2811,410,0,hasCapacityPrediction,14,1093,-2.9489844
0,2822,411,0,hasCapacityPrediction,14,1093,-3.0417676
0,2866,415,0,hasCapacityPrediction,14,1093,-2.4040153
0,2877,416,0,hasCapacityPrediction,14,1093,-2.459013
0,2899,418,0,hasCapacityPrediction,14,1093,-2.366963
0,2910,419,0,hasCapacityPrediction,14,1093,-2.6971612
0,2922,420,0,hasCapacityPrediction,14,1093,-2.6341312
0,2933,421,0,hasCapacityPrediction,14,1093,-2.2467253
0,2966,424,0,hasCapacityPrediction,14,1093,-1.9720942
0,2977,425,0,hasCapacityPrediction,14,1093,-2.1389678
0,2999,427,0,hasCapacityPrediction,14,1093,-2.9788926
0,3010,428,0,hasCapacityPrediction,14,1093,-2.6285744
0,3021,429,0,hasCapacityPrediction,14,1093,-3.0038636
0,3033,430,0,hasCapacityPrediction,14,1093,-2.5772984
0,3044,431,0,hasCapacityPrediction,14,1093,-3.3574126
0,3066,433,0,hasCapacityPrediction,14,1093,-3.978545
0,3077,434,0,hasCapacityPrediction,14,1093,-2.1378958
0,3088,435,0,hasCapacityPrediction,14,1093,-2.502825
0,3099,436,0,hasCapacityPrediction,14,1093,-2.6829307
0,3144,440,0,hasCapacityPrediction,14,1093,-2.9901547
0,3155,441,0,hasCapacityPrediction,14,1093,-2.4242873
0,3354,459,0,hasCapacityPrediction,14,1093,-3.255765
0,3488,471,0,hasCapacityPrediction,14,1093,-3.5392365
0,3721,492,0,hasCapacityPrediction,14,1093,-3.5250638
0,3798,499,0,hasCapacityPrediction,14,1093,-3.1307466
0,3811,500,0,hasCapacityPrediction,14,1093,-2.7634647
0,3999,517,0,hasCapacityPrediction,14,1093,-3.4487412
0,4088,525,0,hasCapacityPrediction,14,1093,-3.394185
0,4166,532,0,hasCapacityPrediction,14,1093,-3.1367118
0,80,1642,0,hasCapacityPrediction,14,1093,-3.443175
0,82,1644,0,hasCapacityPrediction,14,1093,-3.413597
0,89,1650,0,hasCapacityPrediction,14,1093,-3.1020453
0,95,1656,0,hasCapacityPrediction,14,1093,-3.0242336
0,104,1664,0,hasCapacityPrediction,14,1093,-2.8184526
0,109,1669,0,hasCapacityPrediction,14,1093,-3.117706
0,117,1676,0,hasCapacityPrediction,14,1093,-3.1301718
0,119,1678,0,hasCapacityPrediction,14,1093,-3.104739
0,120,1679,0,hasCapacityPrediction,14,1093,-3.5808396
0,124,1682,0,hasCapacityPrediction,14,1093,-2.4184175
0,128,1686,0,hasCapacityPrediction,14,1093,-3.701837
0,133,1690,0,hasCapacityPrediction,14,1093,-2.9108188
0,135,1692,0,hasCapacityPrediction,14,1093,-3.2666578
0,136,1693,0,hasCapacityPrediction,14,1093,-3.334844
0,140,1697,0,hasCapacityPrediction,14,1093,-3.0299697
0,150,1705,0,hasCapacityPrediction,14,1093,-3.4813633
0,152,1707,0,hasCapacityPrediction,14,1093,-3.031283
0,153,1708,0,hasCapacityPrediction,14,1093,-3.105181
0,154,1709,0,hasCapacityPrediction,14,1093,-3.0965075
0,156,1710,0,hasCapacityPrediction,14,1093,-3.6568
0,158,1712,0,hasCapacityPrediction,14,1093,-2.93133
0,163,1717,0,hasCapacityPrediction,14,1093,-3.1497004
0,167,1720,0,hasCapacityPrediction,14,1093,-3.1756337
0,169,1722,0,hasCapacityPrediction,14,1093,-3.7467487
0,170,1723,0,hasCapacityPrediction,14,1093,-2.8283887
0,171,1724,0,hasCapacityPrediction,14,1093,-3.3502142
0,176,1729,0,hasCapacityPrediction,14,1093,-3.2088628
0,181,1733,0,hasCapacityPrediction,14,1093,-3.7035208
0,184,1736,0,hasCapacityPrediction,14,1093,-3.7362504
0,185,1737,0,hasCapacityPrediction,14,1093,-2.8770053
0,187,1739,0,hasCapacityPrediction,14,1093,-3.4135396
0,189,1740,0,hasCapacityPrediction,14,1093,-3.621771
0,190,1741,0,hasCapacityPrediction,14,1093,-3.1257565
0,192,1743,0,hasCapacityPrediction,14,1093,-2.9601526
0,195,1746,0,hasCapacityPrediction,14,1093,-2.9877548
0,196,1747,0,hasCapacityPrediction,14,1093,-3.4099393
0,198,1749,0,hasCapacityPrediction,14,1093,-3.1851518
0,200,1750,0,hasCapacityPrediction,14,1093,-3.271158
0,202,1752,0,hasCapacityPrediction,14,1093,-2.8850641
0,203,1753,0,hasCapacityPrediction,14,1093,-3.6853855
0,204,1754,0,hasCapacityPrediction,14,1093,-3.1055684
0,206,1756,0,hasCapacityPrediction,14,1093,-3.6052966
0,207,1757,0,hasCapacityPrediction,14,1093,-3.2779422
0,208,1758,0,hasCapacityPrediction,14,1093,-3.102857
0,209,1759,0,hasCapacityPrediction,14,1093,-3.4934356
0,212,1761,0,hasCapacityPrediction,14,1093,-3.1945593
0,213,1762,0,hasCapacityPrediction,14,1093,-2.996591
0,216,1765,0,hasCapacityPrediction,14,1093,-3.3376942
0,217,1766,0,hasCapacityPrediction,14,1093,-3.39076
0,219,1768,0,hasCapacityPrediction,14,1093,-3.2263038
0,222,1770,0,hasCapacityPrediction,14,1093,-3.0924628
0,224,1772,0,hasCapacityPrediction,14,1093,-2.2510166
0,225,1773,0,hasCapacityPrediction,14,1093,-3.2807188
0,227,1775,0,hasCapacityPrediction,14,1093,-3.057374
0,229,1777,0,hasCapacityPrediction,14,1093,-3.2342026
0,230,1778,0,hasCapacityPrediction,14,1093,-3.1724083
0,231,1779,0,hasCapacityPrediction,14,1093,-3.0105197
0,233,1780,0,hasCapacityPrediction,14,1093,-2.9906516
0,237,1784,0,hasCapacityPrediction,14,1093,-2.9704847
0,238,1785,0,hasCapacityPrediction,14,1093,-3.4237518
0,239,1786,0,hasCapacityPrediction,14,1093,-3.0533803
0,241,1788,0,hasCapacityPrediction,14,1093,-3.5899854
